event_starttime,event_peaktime,event_endtime,fl_goescls,ar_noaanum
2024-05-03 22:25:00.000,2024-05-03 22:47:00.000,2024-05-03 23:11:00.000,M1.2,13654
2024-05-03 23:11:00.000,2024-05-03 23:16:00.000,2024-05-03 23:20:00.000,M1.0,13663
2024-05-03 23:24:00.000,2024-05-03 23:30:00.000,2024-05-03 23:36:00.000,M2.4,13663
2024-05-04 00:26:00.000,2024-05-04 00:36:00.000,2024-05-04 00:44:00.000,M1.6,13663
2024-05-04 02:16:00.000,2024-05-04 02:36:00.000,2024-05-04 02:52:00.000,C5.8,13664
2024-05-04 03:45:00.000,2024-05-04 03:54:00.000,2024-05-04 04:00:00.000,C5.5,13663
2024-05-04 05:11:00.000,2024-05-04 05:17:00.000,2024-05-04 05:25:00.000,C3.1,13663
2024-05-04 06:02:00.000,2024-05-04 06:19:00.000,2024-05-04 06:30:00.000,M9.1,13663
2024-05-04 06:50:00.000,2024-05-04 07:00:00.000,2024-05-04 07:04:00.000,C8.5,13663
2024-05-04 07:04:00.000,2024-05-04 07:07:00.000,2024-05-04 07:11:00.000,M1.5,13663
2024-05-04 08:31:00.000,2024-05-04 08:36:00.000,2024-05-04 08:43:00.000,C4.5,13663
2024-05-04 12:01:00.000,2024-05-04 12:05:00.000,2024-05-04 12:09:00.000,C4.2,13663
2024-05-04 14:50:00.000,2024-05-04 15:00:00.000,2024-05-04 15:08:00.000,C3.8,13663
2024-05-04 15:57:00.000,2024-05-04 16:07:00.000,2024-05-04 16:22:00.000,C6.3,13663
2024-05-04 17:07:00.000,2024-05-04 17:19:00.000,2024-05-04 17:27:00.000,C9.1,13663
2024-05-04 17:46:00.000,2024-05-04 17:49:00.000,2024-05-04 17:56:00.000,C4.0,13663
2024-05-04 18:10:00.000,2024-05-04 18:20:00.000,2024-05-04 18:25:00.000,M1.3,13663
2024-05-04 19:07:00.000,2024-05-04 19:23:00.000,2024-05-04 19:36:00.000,C5.6,13663
2024-05-04 19:36:00.000,2024-05-04 19:43:00.000,2024-05-04 19:51:00.000,C6.0,13663
2024-05-04 20:33:00.000,2024-05-04 20:41:00.000,2024-05-04 20:49:00.000,C4.4,13663
2024-05-04 21:43:00.000,2024-05-04 21:56:00.000,2024-05-04 22:11:00.000,C4.7,13663
2024-05-04 22:23:00.000,2024-05-04 22:37:00.000,2024-05-04 22:54:00.000,M3.2,13663
2024-05-04 23:28:00.000,2024-05-04 23:48:00.000,2024-05-04 23:55:00.000,M9.0,13663
2024-05-05 01:15:00.000,2024-05-05 01:27:00.000,2024-05-05 01:43:00.000,M8.4,13663
2024-05-05 03:01:00.000,2024-05-05 03:17:00.000,2024-05-05 03:27:00.000,C8.8,13663
2024-05-05 04:20:00.000,2024-05-05 04:25:00.000,2024-05-05 04:30:00.000,C8.4,13663
2024-05-05 05:25:00.000,2024-05-05 05:42:00.000,2024-05-05 05:47:00.000,C5.5,13664
2024-05-05 05:47:00.000,2024-05-05 06:01:00.000,2024-05-05 06:07:00.000,X1.3,13663
2024-05-05 08:07:00.000,2024-05-05 08:19:00.000,2024-05-05 08:24:00.000,M1.3,13663
2024-05-05 09:06:00.000,2024-05-05 09:12:00.000,2024-05-05 09:23:00.000,C8.4,13663
2024-05-05 09:23:00.000,2024-05-05 09:38:00.000,2024-05-05 09:53:00.000,M2.3,13664
2024-05-05 09:53:00.000,2024-05-05 10:00:00.000,2024-05-05 10:19:00.000,M7.4,13663
2024-05-05 11:41:00.000,2024-05-05 11:54:00.000,2024-05-05 12:16:00.000,X1.2,13663
2024-05-05 14:12:00.000,2024-05-05 14:16:00.000,2024-05-05 14:26:00.000,C7.5,13664
2024-05-05 14:33:00.000,2024-05-05 14:47:00.000,2024-05-05 14:56:00.000,M1.3,13663
2024-05-05 15:28:00.000,2024-05-05 15:38:00.000,2024-05-05 15:51:00.000,M2.2,13663
2024-05-05 16:55:00.000,2024-05-05 17:01:00.000,2024-05-05 17:06:00.000,M1.3,13664
2024-05-05 18:00:00.000,2024-05-05 18:04:00.000,2024-05-05 18:08:00.000,C6.4,13664
2024-05-05 18:12:00.000,2024-05-05 18:19:00.000,2024-05-05 18:24:00.000,C8.7,13663
2024-05-05 18:34:00.000,2024-05-05 18:40:00.000,2024-05-05 18:45:00.000,M1.0,13664
2024-05-05 19:44:00.000,2024-05-05 19:52:00.000,2024-05-05 20:06:00.000,M1.3,13663
2024-05-05 22:16:00.000,2024-05-05 22:22:00.000,2024-05-05 22:24:00.000,C2.0,13663
2024-05-05 22:24:00.000,2024-05-05 22:30:00.000,2024-05-05 22:35:00.000,C6.1,13663
2024-05-05 23:25:00.000,2024-05-05 23:43:00.000,2024-05-05 23:58:00.000,C4.1,13663
2024-05-06 00:29:00.000,2024-05-06 00:37:00.000,2024-05-06 00:47:00.000,C3.9,13663
2024-05-06 00:47:00.000,2024-05-06 01:06:00.000,2024-05-06 01:14:00.000,M1.6,13663
2024-05-06 03:40:00.000,2024-05-06 03:51:00.000,2024-05-06 04:09:00.000,C5.8,0
2024-05-06 04:09:00.000,2024-05-06 04:22:00.000,2024-05-06 04:29:00.000,C8.8,13664
2024-05-06 05:09:00.000,2024-05-06 05:28:00.000,2024-05-06 05:38:00.000,M1.3,13663
2024-05-06 05:38:00.000,2024-05-06 06:35:00.000,2024-05-06 06:47:00.000,X4.5,13663
2024-05-06 09:49:00.000,2024-05-06 09:59:00.000,2024-05-06 10:04:00.000,M1.5,13663
2024-05-06 10:52:00.000,2024-05-06 11:00:00.000,2024-05-06 11:06:00.000,C6.5,13664
2024-05-06 12:51:00.000,2024-05-06 12:56:00.000,2024-05-06 13:00:00.000,C9.3,13663
2024-05-06 14:26:00.000,2024-05-06 14:30:00.000,2024-05-06 14:34:00.000,C4.4,13663
2024-05-06 15:23:00.000,2024-05-06 15:34:00.000,2024-05-06 15:48:00.000,C6.2,13663
2024-05-06 17:06:00.000,2024-05-06 17:09:00.000,2024-05-06 17:13:00.000,C4.3,13663
2024-05-06 17:32:00.000,2024-05-06 17:39:00.000,2024-05-06 17:46:00.000,C2.7,0
2024-05-06 18:16:00.000,2024-05-06 18:22:00.000,2024-05-06 18:26:00.000,C3.7,0
2024-05-06 18:33:00.000,2024-05-06 18:42:00.000,2024-05-06 18:49:00.000,C2.9,0
2024-05-06 19:06:00.000,2024-05-06 19:18:00.000,2024-05-06 19:34:00.000,C9.4,13663
2024-05-06 20:15:00.000,2024-05-06 20:22:00.000,2024-05-06 20:25:00.000,C2.6,0
2024-05-06 20:25:00.000,2024-05-06 20:31:00.000,2024-05-06 20:36:00.000,C3.4,0
2024-05-06 21:18:00.000,2024-05-06 21:20:00.000,2024-05-06 21:25:00.000,C3.2,0
2024-05-06 21:37:00.000,2024-05-06 21:48:00.000,2024-05-06 21:58:00.000,M1.2,13663
2024-05-06 21:58:00.000,2024-05-06 22:27:00.000,2024-05-06 23:07:00.000,M4.3,13663
2024-05-07 00:41:00.000,2024-05-07 00:58:00.000,2024-05-07 01:23:00.000,M2.6,13663
2024-05-07 05:37:00.000,2024-05-07 05:46:00.000,2024-05-07 05:52:00.000,C5.7,0
2024-05-07 05:58:00.000,2024-05-07 06:16:00.000,2024-05-07 06:27:00.000,M5.1,13663
2024-05-07 08:18:00.000,2024-05-07 08:23:00.000,2024-05-07 08:40:00.000,M1.3,13664
2024-05-07 10:32:00.000,2024-05-07 10:42:00.000,2024-05-07 10:47:00.000,C9.5,13664
2024-05-07 11:40:00.000,2024-05-07 11:50:00.000,2024-05-07 12:01:00.000,M2.4,13664
2024-05-07 12:43:00.000,2024-05-07 12:54:00.000,2024-05-07 12:59:00.000,M1.5,13663
2024-05-07 13:16:00.000,2024-05-07 13:25:00.000,2024-05-07 13:32:00.000,M1.0,13663
2024-05-07 13:32:00.000,2024-05-07 13:35:00.000,2024-05-07 13:39:00.000,M1.0,13664
2024-05-07 16:21:00.000,2024-05-07 16:30:00.000,2024-05-07 16:36:00.000,M8.2,13663
2024-05-07 19:58:00.000,2024-05-07 20:22:00.000,2024-05-07 20:34:00.000,M2.1,13664
2024-05-07 21:13:00.000,2024-05-07 21:26:00.000,2024-05-07 21:42:00.000,M3.3,13663
2024-05-07 21:42:00.000,2024-05-07 21:53:00.000,2024-05-07 22:08:00.000,M3.2,13663
2024-05-08 00:30:00.000,2024-05-08 00:42:00.000,2024-05-08 00:44:00.000,C8.4,13664
2024-05-08 00:44:00.000,2024-05-08 00:51:00.000,2024-05-08 00:55:00.000,C9.3,13664
2024-05-08 01:33:00.000,2024-05-08 01:41:00.000,2024-05-08 01:48:00.000,X1.0,13663
2024-05-08 02:16:00.000,2024-05-08 02:27:00.000,2024-05-08 02:36:00.000,M3.4,13664
2024-05-08 03:19:00.000,2024-05-08 03:27:00.000,2024-05-08 03:38:00.000,M1.8,13664
2024-05-08 04:37:00.000,2024-05-08 05:09:00.000,2024-05-08 05:32:00.000,X1.0,13664
2024-05-08 07:29:00.000,2024-05-08 07:41:00.000,2024-05-08 07:53:00.000,M4.5,13663
2024-05-08 09:31:00.000,2024-05-08 09:37:00.000,2024-05-08 09:42:00.000,M1.8,13663
2024-05-08 09:43:00.000,2024-05-08 09:48:00.000,2024-05-08 09:56:00.000,M2.1,13663
2024-05-08 11:09:00.000,2024-05-08 11:22:00.000,2024-05-08 11:26:00.000,M4.1,13663
2024-05-08 15:53:00.000,2024-05-08 15:59:00.000,2024-05-08 16:13:00.000,C6.6,13664
2024-05-08 16:13:00.000,2024-05-08 16:22:00.000,2024-05-08 16:27:00.000,C6.6,0
2024-05-08 17:32:00.000,2024-05-08 17:53:00.000,2024-05-08 18:00:00.000,M7.9,13664
2024-05-08 18:14:00.000,2024-05-08 18:36:00.000,2024-05-08 18:51:00.000,M2.9,13663
2024-05-08 19:15:00.000,2024-05-08 19:21:00.000,2024-05-08 19:29:00.000,M2.0,13664
2024-05-08 20:27:00.000,2024-05-08 20:34:00.000,2024-05-08 20:39:00.000,M1.7,13664
2024-05-08 21:08:00.000,2024-05-08 21:40:00.000,2024-05-08 22:05:00.000,X9.0,0
2024-05-08 21:08:00.000,2024-05-08 21:40:00.000,2024-05-08 23:10:00.000,X1.0,13664
2024-05-08 21:08:00.000,2024-05-08 21:40:00.000,2024-05-09 03:07:00.000,X1.0,13664
